CloudMonitor DEBUG 2016-12-13 16:43:25,372 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x945a4008.SECURITY.reg
CloudMonitor DEBUG 2016-12-13 16:44:04,256 [libvmi_monitor_server.py:428] start
CloudMonitor DEBUG 2016-12-13 16:44:05,888 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:44:47,079 [libvmi_monitor_server.py:428] start
CloudMonitor DEBUG 2016-12-13 16:44:48,724 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:45:56,817 [libvmi_monitor_server.py:532] ============[OK] server start up!=============
CloudMonitor DEBUG 2016-12-13 16:46:36,328 [libvmi_monitor_server.py:428] start
CloudMonitor DEBUG 2016-12-13 16:46:37,192 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8b22e420.NTUSERDAT.reg
CloudMonitor DEBUG 2016-12-13 16:46:37,243 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8fc605c0.BCD.reg
CloudMonitor DEBUG 2016-12-13 16:46:38,853 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:46:38,888 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8a8449c8.HARDWARE.reg
CloudMonitor DEBUG 2016-12-13 16:47:05,051 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8a81c008.SYSTEM.reg
CloudMonitor DEBUG 2016-12-13 16:47:05,955 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x945ad9c8.NTUSERDAT.reg
CloudMonitor DEBUG 2016-12-13 16:47:06,128 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9e6e8008.UsrClassdat.reg
CloudMonitor DEBUG 2016-12-13 16:48:27,137 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8fc4b008.SOFTWARE.reg
CloudMonitor DEBUG 2016-12-13 16:48:27,618 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x9781f9c8.Syscachehve.reg
CloudMonitor DEBUG 2016-12-13 16:48:28,115 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x92adc008.DEFAULT.reg
CloudMonitor DEBUG 2016-12-13 16:48:28,170 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8b23a908.SAM.reg
CloudMonitor DEBUG 2016-12-13 16:48:28,219 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x945a4008.SECURITY.reg
CloudMonitor DEBUG 2016-12-13 16:49:09,192 [libvmi_monitor_server.py:428] start
CloudMonitor DEBUG 2016-12-13 16:49:10,805 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:49:10,810 [libvmi_monitor_server.py:469] compareregistry.0x997b17a0.ntuserdat.reg
CloudMonitor DEBUG 2016-12-13 16:49:37,428 [libvmi_monitor_server.py:480] registry/instance-00001e49_registry.0x8a81c008.SYSTEM.reg
